Labels,Metres,End,Description,,,,,,,,,
 SUMMIT,0,,,,,,,,,Summit Buffers,4228,422.8
Top 1 in 5,155,,,,,,,,,Summit Points,4200,420
Cutting 1 in 5,249,,,,,,,,,,4150,415
Bwlch Gwynt,350,,Hats off updraft from glas llyn,,,,,,,,4100,410
Bottom 1 in 5,453,,,,,,,,,,4050,405
Bryn Gelli Wall,534,,,,,,,,,4 ½ Mile,4000,400
Snowdon Ranger,624,,Finger stone for Snowdon Ranger path,,,,,,,,3950,395
4 Mile Cutting,681,, (4 1/4 M),,,,,385,,,3900,390
Stables,832,,Natural well and ruins 50m up from the track,,,,,,,4 ¼ Mile,3850,385
4 M,1076,,4 M,,,,,,,,3800,380
Gwastad Bach,1248,,"lollipop G yellow sign, Little Flat",,,,,,,,3750,375
$3 \frac{3}{4}$ M,1467,,3 3/4 M,,,,,,,,3700,370
Clogwyn Coch,1537,,"the lower one , Red Rock",,,,,,,4 Mile,3650,365
Top Clogwyn Bank,1749,,,,,,,,,,3600,360
Clogwyn Bridge,1923,,,,,,,,,,3550,355
 CLOGWYN,2029,,,,,,,,,,3500,350
$3 \frac{1}{4}$ M,2285,,3 1/4 M,,,,,,,3 ¾ Mile,3450,345
Second Viewpoint,2470,,,,,,,,,,3400,340
 ,2589,,,,,,,,,,3350,335
Rocky Valley Platform,2623,,First Viewpoint = 2589,,,,,,,,3300,330
3 M,2677,,3 M,,,,,,,,3250,325
Rocky Valley Curve,2850,2970,,,,,,,,Clogwyn Bridge,3200,320
Twist! $2 \frac{3}{4}$ M,3090,,$2 \frac{3}{4}$ M 3077,,,,,,,,3150,315
Halfway Cafe area,3368,,,,,,,,,Clogwyn,3100,310
Top Halfway Bank,3471,,2 1/4' = 3460,,", $2 \frac{1}{4}$ M",,,,,,3050,305
 HALFWAY,3868,,,,,,,,,3 ¼ Mile,3000,300
Halfway Cutting,4184,4268,,,,,,,,,2950,295
Halfway Bridge,4288,,2 M 4281,,", 2 M",,,,,,2900,290
2 Mile Curve,4347,,,,,,,,,,2850,285
Carreg Wen,4680,,", White Rock",,", $1 \frac{3}{4}$ M",,"1 3/4 M, 4672",,,,2800,280
$1 \frac{1}{2}$ M,5078,,1 1/2 M,,,,,,,R/Valley,2750,275
Gwastad Hafodty,5285,,"(Hendre - low winter house) , Summer Farmhouse Area",,,,,,,3 Mile,2700,270
$1 \frac{1}{4}$ M,5473,,1 1/4 M,,,,,,,,2650,265
Cattlegrid,5598,,,,,,,,,,2600,260
 HEBRON,5714,,,,,,,,,2 ¾ Mile,2550,255
Hebron Cutting,5890,,1 M 5858,", 1 M",,,,,,,2500,250
Hebron Bridge,5980,,,,,,,,,,2450,245
Bishop Falls,6421,,,,,,,,,,2400,240
Waterfall Station,6694,,", $\frac{1}{2}$ M",,,,,,,,2350,235
Waterfall Viaduct,6811,,"Waterfall Bridge, 6717",,,,,,,2 ½ Mile,2300,230
Lower Viaduct,7009,7173,,,,,,,,,2250,225
 LLANBERIS,7492,,,,,,,,,,2200,220
,,,,,,,,,,,2150,215
,,,,,,,,,,Halfway,2100,210
,,,,,,,,,,,2050,205
,,,,,,,,,,,2000,200
,,,,,,,,,,,1950,195
,,,,,,,,,,,1900,190
,,,,,,,,,,2 Mile,1850,185
,,,,,,,,,,,1800,180
,,,,,,,,,,,1750,175
,,,,,,,,,,,1700,170
,,,,,,,,,,1 ¾ Mile,1650,165
,,,,,,,,,,,1600,160
,,,,,,,,,,,1550,155
,,,,,,,,,,,1500,150
,,,,,,,,,,,1450,145
,,,,,,,,,,1 ½ Mile,1400,140
,,,,,,,,,,,1350,135
,,,,,,,,,,,1300,130
,,,,,,,,,,,1250,125
,,,,,,,,,,1 ¼ Mile,1200,120
,,,,,,,,,,,1150,115
,,,,,,,,,,,1100,110
,,,,,,,,,,,1050,105
,,,,,,,,,,Hebron,1000,100
,,,,,,,,,,,950,95
,,,,,,,,,,Hebron Bridge,900,90
,,,,,,,,,,,850,85
,,,,,,,,,,¾ Mile,800,80
,,,,,,,,,,,750,75
,,,,,,,,,,,700,70
,,,,,,,,,,Bishop Falls Bridge,650,65
,,,,,,,,,,,600,60
,,,,,,,,,,,550,55
,,,,,,,,,,,500,50
,,,,,,,,,,U V/duct,450,45
,,,,,,,,,,,400,40
,,,,,,,,,,,350,35
,,,,,,,,,,¼ Mile,300,30
,,,,,,,,,,L V/duct,250,25
,,,,,,,,,,,200,20
,,,,,,,,,,,150,15
,,,,,,,,,,Llanberis Yard Datum,100,10
